"JURIS_NAME","YEAR","TotalApprovedUnits","VeryLowUnits","LowUnits","ModUnits","AboveModUnits","SB35Count","DensityBonusCount","TotalAffordableUnits","IncomeTotal","LowIncomeShare","PriorApprovedUnits"
"WILLIAMS",2022,0,0,13,0,1,0,0,13,14,0.928571428571429,0
"WILLIAMS",2023,4,0,0,4,0,0,0,4,4,1,0
"WILLIAMS",2024,0,0,0,4,0,0,0,4,4,1,4
"WILLITS",2019,6,0,2,4,0,0,0,6,6,1,3
"WILLITS",2020,3,0,2,1,0,0,0,3,3,1,6
"WILLITS",2021,0,0,0,5,4,0,0,5,9,0.555555555555556,3
"WILLITS",2022,13,0,0,12,1,0,0,12,13,0.923076923076923,0
"WILLITS",2023,4,0,0,4,1,0,0,4,5,0.8,13
"WILLOWS",2021,2,0,0,2,0,0,0,2,2,1,0
"WILLOWS",2022,6,0,0,0,6,0,0,0,6,0,2
"WILLOWS",2023,17,0,0,0,17,0,0,0,17,0,6
"WINDSOR",2020,0,49,5,0,10,0,0,54,64,0.84375,11
"WINDSOR",2021,302,72,165,3,92,0,1,240,332,0.72289156626506,0
"WINDSOR",2022,244,10,203,6,79,0,2,219,298,0.73489932885906,302
"WINDSOR",2023,46,0,0,31,277,0,1,31,308,0.100649350649351,244
"WINDSOR",2024,76,3,121,5,113,0,3,129,242,0.533057851239669,46
"WINTERS",2019,20,0,0,0,20,0,0,0,20,0,527
"WINTERS",2020,0,0,24,3,52,0,0,27,79,0.341772151898734,20
"WINTERS",2021,2,2,0,0,0,0,0,2,2,1,0
"WINTERS",2022,3,0,3,0,0,0,0,3,3,1,2
"WOODLAKE",2023,0,0,1,2,17,0,0,3,20,0.15,0
"WOODLAND",2019,0,17,49,38,197,0,0,104,301,0.345514950166113,18
"WOODLAND",2020,168,10,26,132,9,0,0,168,177,0.949152542372881,0
"WOODLAND",2021,171,48,32,74,17,0,1,154,171,0.900584795321637,168
"WOODLAND",2022,205,0,127,78,0,0,1,205,205,1,171
"WOODLAND",2023,130,2,4,124,0,0,2,130,130,1,205
"WOODLAND",2024,4,0,4,6,1,0,0,10,11,0.909090909090909,130
"WOODSIDE",2019,10,3,1,0,6,0,0,4,10,0.4,28
"WOODSIDE",2020,0,6,1,1,7,0,0,8,15,0.533333333333333,10
"WOODSIDE",2021,0,4,1,1,6,0,0,6,12,0.5,0
"WOODSIDE",2022,0,3,2,2,7,0,0,7,14,0.5,0
"WOODSIDE",2023,0,4,3,3,11,0,0,10,21,0.476190476190476,0
"WOODSIDE",2024,0,1,1,1,5,0,0,3,8,0.375,0
"YORBA LINDA",2019,56,13,36,0,8,0,0,49,57,0.859649122807018,199
"YORBA LINDA",2020,16,6,9,4,6,0,0,19,25,0.76,56
"YORBA LINDA",2021,63,26,10,7,24,0,0,43,67,0.641791044776119,16
"YORBA LINDA",2022,17,25,7,4,3,0,0,36,39,0.923076923076923,63
"YORBA LINDA",2023,27,17,8,6,7,0,0,31,38,0.81578947368421,17
"YORBA LINDA",2024,107,51,56,0,9,0,1,107,116,0.922413793103448,27
"YOUNTVILLE",2020,0,0,0,4,2,0,0,4,6,0.666666666666667,5
"YOUNTVILLE",2021,1,0,0,0,1,0,0,0,1,0,0
"YOUNTVILLE",2022,4,0,0,0,4,0,0,0,4,0,1
"YOUNTVILLE",2023,7,0,1,3,15,0,1,4,19,0.210526315789474,4
"YOUNTVILLE",2024,27,3,6,5,13,0,0,14,27,0.518518518518518,7
"YREKA",2020,0,0,0,2,0,0,0,2,2,1,2
"YREKA",2021,3,0,0,2,1,0,0,2,3,0.666666666666667,0
"YREKA",2022,0,0,0,1,0,0,0,1,1,1,3
"YREKA",2023,2,0,0,0,2,0,0,0,2,0,0
"YREKA",2024,291,0,0,0,291,0,0,0,291,0,2
"YUBA CITY",2019,596,0,0,552,44,0,0,552,596,0.926174496644295,0
"YUBA CITY",2020,0,100,116,0,135,0,0,216,351,0.615384615384615,596
"YUBA CITY",2021,191,0,0,191,0,0,0,191,191,1,0
"YUBA CITY",2022,82,0,0,0,82,0,0,0,82,0,191
"YUBA CITY",2023,331,0,218,117,0,0,0,335,335,1,82
"YUBA CITY",2024,91,0,0,0,91,0,0,0,91,0,331
"YUCAIPA",2019,402,0,10,0,472,0,0,10,482,0.020746887966805,167
"YUCAIPA",2020,150,0,16,276,114,0,0,292,406,0.719211822660099,402
"YUCAIPA",2021,209,0,9,546,69,0,8,555,624,0.889423076923077,150
"YUCAIPA",2022,311,0,70,399,218,0,5,469,687,0.682678311499272,209
"YUCAIPA",2023,383,0,150,272,264,0,5,422,686,0.615160349854227,311
"YUCAIPA",2024,190,14,243,250,285,0,1,507,792,0.640151515151515,383
